prevailing_wage,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,has_job_experience_Y,requires_job_training_Y,no_of_employees_Medium_Sized(2500-7500employees),no_of_employees_Large_Sized(>75000employees),yr_of_estab_Newer_Estab(>1990),region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Not_Hourly,full_time_position_Y
61567.75,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
156251.17,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
86022.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
49565.37,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
66191.41,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
95623.2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
115014.05,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
35018.04,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
12001.9744,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
113799.64,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
85854.09,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1
14174.04,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
47176.84,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
4949.28,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
67410.59,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1
58791.58,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1
5367.5232,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
62591.57,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
102919.59,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
123468.56,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
82324.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5319.49,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
153019.94,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1
38059.89,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
11977.004,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
61521.92,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
121316.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
122540.55,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
47170.76,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
17179.4636,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2927.34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
107781.48,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
30681.0556,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
194176.83,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1
102073.81,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
113882.38,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
70778.82,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
84125.48,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
174014.59,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1
34213.17,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
79813.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
113327.34,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
78893.64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
140290.16,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
111926.01,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1
125880.21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
27450.2852,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
49357.95,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
69335.2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
99737.18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
91449.62,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
34494.86,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
20591.74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
159645.51,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
28243.79,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
43421.88,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
80253.78,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
115235.95,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
95200.86,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
41613.52,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
64137.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
66295.43,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
97520.02,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
65164.57,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
73957.17,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
71415.43,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
87336.53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
98966.72,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
83503.6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
57590.66,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
32400.2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
65993.21,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1
32161.6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
16421.37,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
160676.39,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
53114.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
19176.21,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
204832.52,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40256.03,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
38841.44,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
133052.84,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
75234.64,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
37032.83,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
61617.73,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
247393.01,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1
17733.1908,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
30570.95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
19477.1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1
164893.0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
131584.5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
63896.35,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
77883.22,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
108519.14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
47002.53,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
88720.29,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
60821.75,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1
66324.69,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
100398.58,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
51282.75,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
13322.72,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
18606.608799999998,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
4787.43,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
149023.92,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
123739.41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
27513.746,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
68933.4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
21442.0752,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
128931.59,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
37751.51,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
81781.43,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
6256.18,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
44539.97,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
104281.71,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
125323.7,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
81816.46,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1
4027.85,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
56117.39,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
113212.16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
47095.57,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
123437.12,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
65894.51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
174333.19,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
9992.164,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
71825.63,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
50362.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
9078.62,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1
10341.89,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
61740.3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1
61031.95,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
31986.79,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1
93384.38,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1
109921.68,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
122535.0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
105898.54,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
134350.49,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1
126498.81,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
113366.37,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
100401.52,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
128173.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
16319.419999999998,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
88809.74,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
138032.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
630.66,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
29469.17,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1
123688.79,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
111179.86,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
102909.59,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
128850.75,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1
113637.4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
179675.58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
15814.94,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
21511.58,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
94252.62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
89207.07,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
74441.11,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1
99469.71,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
31890.66,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
167376.13,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
130404.72,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
84130.53,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
89079.05,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
82464.74,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
8235.7964,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
62640.94,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
116642.18,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
53767.37,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
115777.03,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
101399.51,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
146374.48,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
21282.82,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
269321.68,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
52114.54,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
2390.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
73623.94,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
141796.39,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
219529.62,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
195404.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
158569.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
135792.52,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
100379.63,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
138925.72,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
118458.61,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
35782.5832,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
112028.45,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
42046.264,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
112881.33,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
7794.05,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
7113.47,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
100786.62,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
87390.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
93644.17,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
118555.6,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
114512.69,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
59125.18,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
26325.98,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
56606.54,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1
51886.04,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
62112.22,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
63108.03,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
39452.99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
80580.97,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1
37291.82,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
95974.61,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
21846.43,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
61147.07,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
120148.75,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1
206941.23,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
91689.54,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
76214.85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
65458.88,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
62730.52,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
21651.43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
102598.35,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
56422.81,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
141372.27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
138642.17,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
143628.65,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
35760.36,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
3456.8,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
42469.25,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1
45614.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
108458.31,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
62950.34,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
162990.52,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
84521.88,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
141129.7,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
85218.35,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
6179.68,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
154428.88,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
65108.59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
21001.69,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1
57370.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
99714.22,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
139424.83,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
20951.91,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
66329.37,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
88447.6,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
123018.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
8594.1544,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
12800.02,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
103390.44,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
25419.59,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
82385.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
42761.33,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1
98119.94,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2007.26,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
84899.65,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
26813.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
367.31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
116370.47,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
32086.09,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
205084.59,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
45860.87,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
69741.05,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1
101371.21,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
93644.47,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
12896.52,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
155042.99,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
31004.937599999997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
53304.04,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1
34738.65,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
69375.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
30066.16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
67204.54,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
56065.53,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
18035.36,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
100850.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
133586.58,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
